DIRECTORIO,P6020,P6040,P6051,P5502,P767,P6081,P6083,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927
7247300,1,67,2,2.0,,2,2,8.0,5.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,10.0,9.0
7247300,2,71,1,2.0,,3,3,7.0,5.0,8.0,8.0,6.0,10.0,9.0,5.0,4.0,10.0,7.0
7247300,1,64,7,4.0,,2,2,9.0,6.0,10.0,10.0,4.0,8.0,10.0,6.0,6.0,10.0,8.0
7247301,1,84,1,6.0,57.0,3,3,4.0,7.0,7.0,10.0,0.0,7.0,10.0,0.0,0.0,10.0,10.0
7247301,2,76,2,6.0,46.0,3,3,10.0,10.0,7.0,10.0,0.0,7.0,8.0,8.0,0.0,10.0,10.0
7247302,2,75,6,3.0,,3,3,5.0,99.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0
7247310,1,74,1,6.0,58.0,3,3,6.0,5.0,9.0,7.0,6.0,3.0,5.0,8.0,5.0,8.0,5.0
7247310,2,73,2,6.0,58.0,3,3,7.0,5.0,3.0,10.0,0.0,6.0,8.0,1.0,2.0,10.0,5.0
7247311,1,81,1,3.0,60.0,3,3,10.0,5.0,4.0,10.0,9.0,9.0,6.0,7.0,5.0,9.0,5.0
7247312,2,64,1,4.0,,3,3,9.0,8.0,9.0,8.0,7.0,9.0,6.0,5.0,4.0,10.0,8.0
7247312,2,83,7,5.0,,3,3,7.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
7247312,1,80,7,5.0,,3,3,7.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0
7247312,1,79,7,3.0,,3,3,8.0,9.0,8.0,8.0,4.0,8.0,9.0,2.0,4.0,8.0,9.0
7247323,2,94,1,3.0,,3,3,7.0,5.0,4.0,7.0,0.0,7.0,7.0,0.0,0.0,10.0,6.0
7247323,1,65,3,5.0,,3,1,7.0,4.0,6.0,8.0,0.0,3.0,5.0,6.0,5.0,5.0,6.0
7247324,1,68,1,4.0,,3,3,10.0,99.0,10.0,5.0,0.0,10.0,10.0,7.0,0.0,10.0,5.0
7247328,1,63,1,6.0,,3,3,5.0,0.0,5.0,7.0,0.0,0.0,7.0,8.0,7.0,10.0,3.0
7247328,2,61,2,6.0,29.0,3,3,8.0,2.0,10.0,7.0,6.0,7.0,9.0,9.0,3.0,9.0,8.0
7247329,2,67,1,4.0,,2,2,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,7.0,6.0
7247335,1,68,1,6.0,,2,3,10.0,7.0,8.0,9.0,5.0,10.0,9.0,8.0,3.0,9.0,9.0
7247335,2,63,2,6.0,,3,3,9.0,7.0,10.0,6.0,4.0,10.0,10.0,0.0,2.0,10.0,9.0
7247344,1,64,14,3.0,,3,3,7.0,99.0,9.0,6.0,0.0,6.0,9.0,7.0,0.0,8.0,5.0
7247355,1,66,7,5.0,,3,3,7.0,99.0,7.0,7.0,0.0,5.0,10.0,0.0,0.0,6.0,10.0
7247356,2,70,1,3.0,26.0,3,3,6.0,99.0,5.0,6.0,3.0,6.0,6.0,0.0,0.0,6.0,8.0
7247369,1,66,1,4.0,,2,2,9.0,9.0,9.0,5.0,9.0,7.0,9.0,6.0,0.0,8.0,8.0
7247375,1,82,14,3.0,,3,3,7.0,7.0,3.0,7.0,3.0,7.0,8.0,6.0,7.0,8.0,8.0
7247377,1,66,1,6.0,,3,2,7.0,6.0,7.0,6.0,8.0,8.0,9.0,6.0,3.0,8.0,7.0
7247377,2,61,2,6.0,,2,2,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,6.0
7247379,1,87,1,3.0,,3,3,3.0,4.0,4.0,4.0,6.0,2.0,2.0,5.0,3.0,4.0,5.0
7247382,1,66,1,2.0,,3,3,4.0,6.0,7.0,6.0,8.0,6.0,6.0,3.0,4.0,5.0,5.0
7247382,2,67,2,2.0,,3,3,5.0,8.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,5.0,4.0
7247388,2,75,1,3.0,50.0,3,3,6.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,4.0,7.0,7.0
7247388,2,60,7,5.0,50.0,3,3,8.0,5.0,8.0,8.0,1.0,6.0,8.0,7.0,3.0,10.0,8.0
7247391,1,67,1,2.0,,3,3,9.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,2.0,9.0,8.0
7247391,2,65,2,2.0,11.0,3,2,10.0,7.0,8.0,8.0,8.0,8.0,9.0,5.0,2.0,8.0,9.0
