"","cuidador","leer","jugar","salir","vertv","deporte","dispositivoselectronicos","valor"
"1",2,0,0,0,0,0,0,0
"2",2,0,1,2,0,0,1,4
"3",2,0,1,0,1,0,0,2
"4",2,0,0,0,0,0,0,0
"5",2,0,0,0,0,0,0,0
"6",1,0,0,3,2,0,0,5
"7",1,0,1,2,1,0,0,4
"8",2,0,1,0,1,2,0,4
"9",2,0,0,0,0,0,0,0
"10",1,2,0,0,1,0,0,3
"11",1,2,1,1,1,0,0,5
"12",5,0,1,4,0,0,0,5
"13",2,0,0,0,0,0,0,0
"14",5,0,1,3,1,0,0,5
"15",2,2,0,0,1,0,0,3
"16",1,0,1,1,1,0,0,3
"17",2,0,1,2,1,0,0,4
"18",1,0,0,3,1,0,0,4
"19",2,0,0,0,0,0,0,0
"20",2,2,0,0,3,0,0,5
"21",1,2,3,4,1,0,0,10
"22",2,0,3,3,3,0,0,9
"23",2,0,0,0,0,0,0,0
"24",2,2,0,0,0,0,0,2
"25",2,2,0,2,2,2,0,8
"26",1,0,1,0,0,0,0,1
"27",2,0,1,1,0,0,0,2
"28",2,0,1,2,1,0,0,4
"29",2,0,0,2,0,0,0,2
"30",2,0,1,2,1,0,0,4
"31",1,2,2,0,1,0,0,5
"32",1,0,1,0,0,0,0,1
"33",2,0,1,0,0,0,0,1
"34",2,0,0,0,1,0,0,1
"35",1,2,0,0,1,0,0,3
"36",2,0,0,2,1,0,0,3
"37",2,0,0,0,1,0,0,1
"38",1,3,0,0,0,0,0,3
"39",2,0,0,0,0,0,0,0
"40",2,0,0,0,0,0,0,0
"41",1,0,0,0,1,0,0,1
"42",1,0,0,0,1,0,0,1
"43",2,0,0,0,0,0,1,1
"44",1,0,2,0,1,0,0,3
"45",1,0,2,0,1,0,0,3
"46",2,0,0,0,0,0,0,0
"47",1,0,0,1,1,0,0,2
"48",1,0,0,2,1,0,0,3
"49",1,0,0,2,1,0,1,4
"50",2,1,1,0,1,0,0,3
"51",1,0,1,2,1,0,0,4
"52",1,0,0,0,1,0,0,1
"53",1,0,0,0,1,0,0,1
"54",2,0,1,2,0,0,0,3
"55",2,0,0,0,0,0,0,0
"56",2,0,0,0,0,0,0,0
"57",2,0,0,0,1,0,0,1
"58",2,2,0,2,1,0,0,5
"59",2,2,0,2,1,0,0,5
"60",5,2,0,2,1,0,0,5
"61",1,0,2,0,1,0,0,3
"62",2,0,0,0,1,0,0,1
"63",2,0,2,0,1,0,0,3
"64",5,0,0,0,0,0,0,0
"65",5,0,0,0,0,0,0,0
"66",4,0,0,0,1,0,0,1
"67",2,0,0,0,0,0,0,0
"68",1,2,0,2,2,0,0,6
"69",1,2,1,2,1,0,0,6
"70",1,0,2,2,2,0,0,6
"71",2,1,0,0,1,1,0,3
"72",2,0,1,0,0,0,0,1
"73",1,3,2,0,0,0,0,5
"74",1,2,1,0,1,0,0,4
"75",1,2,1,0,1,0,0,4
"76",1,2,2,0,1,0,0,5
"77",1,2,3,0,0,0,0,5
"78",2,0,0,0,0,0,0,0
"79",1,0,1,0,1,0,0,2
"80",2,2,1,4,1,0,0,8
"81",2,4,0,4,2,0,0,10
"82",1,4,0,0,0,0,0,4
"83",1,4,0,0,0,0,0,4
"84",1,0,1,0,0,0,0,1
"85",1,0,1,0,0,0,0,1
"86",2,0,0,0,0,0,0,0
"87",1,0,0,0,0,0,0,0
"88",2,0,0,0,2,0,0,2
"89",2,0,0,0,0,0,0,0
"90",2,2,0,2,1,0,0,5
"91",2,0,0,2,1,0,0,3
"92",2,0,0,2,1,0,0,3
"93",4,0,3,2,0,0,0,5
"94",2,0,0,0,0,0,0,0
"95",1,0,0,0,1,0,0,1
"96",1,0,0,0,0,0,0,0
"97",5,0,0,2,0,0,1,3
"98",2,0,1,0,0,1,0,2
"99",1,2,0,0,1,0,0,3
"100",1,0,1,0,1,0,0,2
"101",1,1,1,0,0,0,0,2
"102",1,0,2,2,1,0,0,5
"103",1,2,2,0,0,0,2,6
"104",2,0,0,0,0,0,0,0
"105",1,0,0,2,1,0,0,3
"106",2,0,2,3,1,0,0,6
"107",2,0,0,3,1,0,2,6
"108",1,0,1,0,1,1,0,3
"109",2,3,0,0,0,0,0,3
"110",1,0,0,2,1,0,0,3
"111",2,0,0,0,1,0,0,1
"112",5,0,1,3,1,0,0,5
"113",2,1,1,0,0,0,0,2
"114",2,0,0,0,0,0,0,0
"115",2,2,2,3,1,0,0,8
"116",2,0,1,0,0,0,0,1
"117",2,2,0,0,1,0,0,3
"118",2,0,0,0,0,0,0,0
"119",2,0,0,0,0,0,0,0
"120",2,1,0,0,2,0,0,3
"121",1,1,0,0,1,0,0,2
"122",2,0,0,0,0,0,0,0
"123",1,0,3,0,1,0,1,5
"124",2,0,2,0,1,0,2,5
"125",2,0,1,2,1,0,1,5
"126",2,0,2,0,2,0,0,4
"127",2,0,0,0,0,0,0,0
"128",2,0,2,2,0,0,0,4
"129",2,0,0,0,0,0,0,0
"130",1,0,2,0,2,0,0,4
"131",2,0,0,0,0,0,0,0
"132",5,0,2,3,0,0,0,5
"133",1,0,3,0,0,0,0,3
"134",2,0,1,0,0,0,0,1
"135",2,0,0,0,0,0,0,0
"136",1,0,0,0,0,0,0,0
"137",1,0,0,0,0,0,0,0
"138",1,0,0,0,0,0,0,0
"139",3,0,0,0,0,0,0,0
"140",2,0,1,0,0,0,0,1
"141",2,0,0,0,0,0,0,0
"142",2,0,1,0,0,0,0,1
"143",2,0,0,0,0,0,0,0
"144",1,0,0,0,1,0,0,1
"145",1,0,0,0,1,0,0,1
"146",5,0,1,0,1,0,0,2
"147",2,0,0,0,0,0,0,0
"148",2,0,0,0,0,0,0,0
"149",2,0,0,0,0,0,0,0
"150",2,0,1,4,4,0,1,10
"151",2,0,2,2,0,0,0,4
"152",2,0,0,0,1,0,0,1
"153",2,1,0,0,1,0,0,2
"154",1,0,0,0,0,0,0,0
"155",1,0,0,0,1,0,0,1
"156",2,0,0,0,1,0,0,1
"157",2,0,2,0,1,0,1,4
"158",2,2,0,0,1,0,0,3
"159",1,0,1,0,1,0,0,2
"160",2,0,1,0,0,0,0,1
"161",2,0,0,0,0,0,0,0
"162",2,2,1,2,2,0,0,7
"163",1,0,0,0,2,0,0,2
"164",1,0,0,2,0,0,0,2
"165",1,0,2,0,0,0,0,2
"166",1,0,0,0,0,0,0,0
"167",5,1,1,3,1,0,0,6
"168",5,0,0,0,1,0,0,1
"169",2,0,1,1,0,0,0,2
"170",2,0,0,0,1,0,0,1
"171",1,0,0,1,1,0,0,2
"172",2,0,0,0,0,0,0,0
"173",2,0,0,0,1,0,0,1
"174",1,0,0,0,0,0,0,0
"175",2,2,2,0,1,0,0,5
"176",2,0,0,0,0,0,0,0
"177",1,2,2,0,0,0,0,4
"178",1,1,0,3,0,2,0,6
"179",5,0,0,0,1,0,0,1
"180",2,0,0,0,0,0,0,0
"181",2,2,0,3,2,0,0,7
"182",1,1,2,2,2,3,2,12
"183",2,0,0,2,1,0,0,3
"184",2,2,0,2,0,0,0,4
"185",1,0,0,0,2,0,0,2
"186",2,0,0,0,0,0,0,0
"187",5,0,1,0,1,0,0,2
"188",1,0,2,0,2,0,0,4
"189",1,0,2,0,2,0,0,4
"190",1,0,0,0,2,2,0,4
"191",2,0,1,0,1,1,0,3
"192",2,1,1,0,0,0,0,2
"193",2,2,0,0,1,0,1,4
"194",2,0,0,0,0,0,3,3
"195",2,1,1,0,1,0,0,3
"196",1,2,1,0,1,1,0,5
"197",1,2,2,0,0,0,0,4
"198",1,2,0,0,0,0,0,2
"199",2,0,2,0,1,1,0,4
"200",1,0,0,1,1,2,0,4
"201",2,1,1,3,1,2,1,9
"202",2,0,3,0,1,0,3,7
"203",2,0,2,0,0,0,0,2
"204",2,0,1,0,1,0,0,2
"205",2,1,1,0,1,2,3,8
"206",2,0,0,2,1,0,0,3
"207",2,0,0,0,0,0,1,1
"208",2,0,0,0,2,0,0,2
"209",2,3,0,1,1,0,0,5
"210",2,1,1,0,1,0,0,3
"211",1,3,0,0,1,3,0,7
"212",1,2,0,0,1,0,2,5
"213",2,2,1,0,3,0,0,6
"214",2,2,1,2,1,1,3,10
"215",3,1,1,0,1,1,0,4
"216",1,0,0,0,1,0,0,1
"217",2,0,1,0,1,0,0,2
"218",2,1,1,0,1,0,0,3
"219",1,0,0,0,1,0,0,1
"220",2,1,0,0,1,1,0,3
"221",2,0,0,0,1,0,0,1
"222",2,0,1,0,0,0,0,1
"223",1,0,1,0,0,0,0,1
"224",5,0,0,2,0,0,0,2
"225",2,0,0,2,0,0,0,2
"226",2,0,0,0,1,0,0,1
"227",2,0,2,0,0,0,0,2
"228",1,0,2,0,0,0,0,2
"229",2,2,0,0,0,0,0,2
"230",1,3,0,0,1,0,0,4
"231",5,0,1,0,1,0,0,2
"232",2,2,0,0,1,0,0,3
"233",1,0,1,0,0,0,0,1
"234",2,0,1,0,0,0,0,1
"235",2,2,2,0,0,0,0,4
"236",2,0,0,2,1,0,0,3
"237",5,2,0,0,1,0,0,3
"238",2,0,0,0,0,0,0,0
"239",2,0,0,0,2,2,0,4
"240",5,0,0,0,0,0,2,2
"241",5,0,0,0,0,0,2,2
"242",1,1,1,2,1,0,1,6
"243",2,0,0,0,0,0,0,0
"244",2,0,1,2,2,0,0,5
"245",3,0,0,2,0,0,0,2
"246",2,0,1,4,1,0,0,6
"247",2,0,0,0,0,0,0,0
"248",2,0,1,0,1,0,0,2
"249",5,1,1,2,1,0,0,5
"250",2,0,1,0,1,0,0,2
"251",2,0,0,0,0,0,0,0
"252",1,2,0,2,1,2,0,7
"253",5,2,2,0,1,0,1,6
"254",2,2,2,0,0,0,0,4
"255",5,0,1,1,0,0,0,2
"256",1,0,1,2,2,0,0,5
"257",2,0,0,0,0,0,0,0
"258",3,0,0,0,0,0,0,0
"259",1,0,0,0,1,0,0,1
"260",2,2,0,0,0,0,0,2
"261",1,0,0,4,1,0,0,5
"262",2,0,2,3,1,0,0,6
"263",1,2,0,4,0,0,0,6
"264",2,0,0,0,0,0,0,0
"265",1,1,0,0,1,0,0,2
"266",2,2,0,0,1,0,0,3
"267",2,0,0,3,0,0,0,3
"268",5,1,1,0,0,0,0,2
"269",5,0,0,2,0,0,0,2
"270",2,2,0,2,1,0,0,5
"271",2,0,0,2,1,0,0,3
"272",2,0,0,0,0,0,0,0
"273",2,0,1,0,0,0,0,1
"274",5,0,2,0,0,0,0,2
"275",2,0,0,2,1,0,0,3
"276",2,2,0,2,0,0,0,4
"277",2,0,0,0,1,0,0,1
"278",2,2,0,3,2,0,0,7
"279",2,0,0,0,1,0,0,1
"280",1,0,0,0,1,0,0,1
"281",1,0,0,0,1,0,0,1
"282",2,0,0,0,0,0,0,0
"283",2,0,0,0,0,0,0,0
"284",2,0,0,0,0,0,0,0
"285",2,0,0,0,0,0,0,0
"286",2,0,0,0,0,0,0,0
"287",2,0,0,0,0,0,0,0
"288",2,0,0,0,0,0,0,0
"289",2,0,0,0,0,0,0,0
"290",4,0,0,0,0,0,0,0
"291",1,0,0,2,0,0,0,2
"292",1,0,0,0,0,0,0,0
"293",2,0,0,2,0,0,0,2
"294",1,2,0,0,0,0,0,2
"295",1,0,0,0,1,0,0,1
"296",1,0,2,0,1,0,0,3
"297",1,0,2,0,2,0,0,4
"298",1,0,2,0,2,0,0,4
"299",1,0,2,0,1,0,0,3
"300",1,0,1,0,1,0,0,2
"301",2,0,0,0,0,0,0,0
"302",2,1,1,2,2,0,0,6
"303",2,1,2,2,1,0,0,6
"304",1,1,0,3,0,0,0,4
"305",2,0,1,3,1,0,0,5
"306",2,0,0,2,1,0,0,3
"307",2,0,0,2,1,0,0,3
"308",5,1,0,0,0,0,1,2
"309",2,2,1,0,1,0,0,4
"310",1,0,2,0,0,0,0,2
"311",2,1,0,2,1,0,0,4
"312",2,0,0,2,1,0,0,3
"313",5,2,0,0,1,0,0,3
"314",1,0,2,2,1,0,0,5
"315",1,0,1,1,1,1,0,4
"316",2,2,2,0,0,0,0,4
"317",1,2,0,0,0,0,0,2
"318",1,2,0,0,2,0,0,4
"319",1,2,0,0,2,0,0,4
"320",2,0,0,2,1,0,0,3
"321",2,0,1,0,1,0,0,2
"322",2,0,0,2,1,0,0,3
"323",4,0,0,0,0,0,0,0
"324",2,0,0,0,0,0,0,0
"325",2,0,0,0,1,0,0,1
"326",2,0,0,0,0,0,0,0
"327",5,0,0,0,1,0,0,1
"328",2,0,3,3,2,0,0,8
"329",5,0,0,2,2,0,0,4
"330",5,0,0,2,0,0,0,2
"331",5,0,0,0,0,0,0,0
"332",2,0,0,0,0,0,0,0
"333",2,3,0,0,0,0,0,3
"334",2,2,0,0,0,0,0,2
"335",2,0,0,0,0,0,0,0
"336",2,0,0,0,0,0,0,0
"337",2,3,0,0,0,0,0,3
"338",2,0,1,0,0,0,0,1
"339",2,1,2,0,1,0,0,4
"340",6,0,0,0,0,0,0,0
"341",4,0,2,0,2,2,0,6
"342",6,0,1,0,1,0,1,3
"343",1,0,0,2,2,0,0,4
"344",1,0,0,2,2,0,0,4
"345",2,0,0,0,0,0,0,0
